"ID","Sub","Key ","Value"
"W1",1,"subsection",1.1
"W1",1,"title","Analyze Propositions and Boolean Expressions"
"W1",1,"reading","Rosen2019, pp.1-13"
"W1",1,"video","https://youtu.be/OApHaIMKMJE"
"W1",1,"task","Define what is a proposition"
"W1",1,"task","Define Boolean operations ($\neg, \wedge, \vee, \rightarrow, \leftrightarrow$)"
"W1",1,"task","Restore parentheses using precedence"
"W1",1,"task","Create truth tables for expressions"
"W1",2,"subsection",1.2
"W1",2,"title","Create propositional statements"
"W1",2,"reading","Rosen2019, pp.17-22"
"W1",2,"video","https://youtu.be/_RrxqiB_pfE"
"W1",2,"task","Translate English into Propositional logic."
"W1",2,"task","Recognize situations when natural language uses logical connectives in a different sense."
"W1",2,"task","Solve Logic Puzzles and Word Problems."
"W1",3,"subsection",1.3
"W1",3,"title","Recognize Boolean tautologies and satisfiability."
"W1",3,"reading","Rosen2019, pp.26-33"
"W1",3,"video","https://youtu.be/x0ELYvaf21E"
"W1",3,"task","Rewrite propositions using equivalences (Use double negation; Use De Morgan's laws; Write Contrapositive for an Implication "
"W1",3,"task","Define a tautology if a truth table exists."
"W1",3,"task","Create new tautologies using inference rules."
"W1",3,"task","Define Satisfiable and Contradictory Boolean Expressions."
"W1",4,"subsection","1.X"
"W1",4,"title","Use expressions in programming (optional)"
"W1",4,"reading","NA"
"W1",4,"video","NA"
"W1",4,"task","Apply operation precedence to a Python expression."
"W1",4,"task","Apply operation associativity to a Python expression."
"W1",4,"task","Apply short-circuit Boolean evaluation."
"W2",5,"subsection",1.7
"W2",5,"title","Use Common Proof Strategies"
"W2",5,"reading","Rosen2019, pp.84-93"
"W2",5,"video","https://youtu.be/b-hKQOhxlNA"
"W2",5,"video","https://youtu.be/PNme9Kl3kDo"
"W2",5,"video","https://youtu.be/CCAgvPGOlmE"
"W2",5,"task","Explain direct proofs for IF-THEN statements"
"W2",5,"task","Explain proofs by contraposition for IF-THEN statements"
"W2",5,"task","Explain constructive proofs using contradiction."
"W2",6,"subsection",1.4
"W2",6,"title","Use Predicates and Quantifiers"
"W2",6,"reading","Rosen2019, pp.40-55"
"W2",6,"video","https://youtu.be/rZH5RFSXsvI"
